Date,Close,Date,Close,Date,Close
7/27/2016,2166.58,7/27/2016,128.03,7/27/2016,140.65
7/28/2016,2170.06,7/28/2016,127.66,7/28/2016,140.39
7/29/2016,2173.6,7/29/2016,128.98,7/29/2016,141.56
8/1/2016,2170.84,8/1/2016,129.22,8/1/2016,139.77
8/2/2016,2157.03,8/2/2016,130.27,8/2/2016,138.33
8/3/2016,2163.79,8/3/2016,129.65,8/3/2016,138.41
8/4/2016,2164.25,8/4/2016,129.87,8/4/2016,139.45
8/5/2016,2182.87,8/5/2016,127.55,8/5/2016,138
8/8/2016,2180.89,8/8/2016,127.44,8/8/2016,138.26
8/9/2016,2181.74,8/9/2016,127.96,8/9/2016,139.62
8/10/2016,2175.49,8/10/2016,128.56,8/10/2016,140.16
8/11/2016,2185.79,8/11/2016,127.67,8/11/2016,138.91
8/12/2016,2184.05,8/12/2016,127.4,8/12/2016,140.08
8/15/2016,2190.15,8/15/2016,127.84,8/15/2016,138.76
8/16/2016,2178.15,8/16/2016,128.47,8/16/2016,138.39
8/17/2016,2182.22,8/17/2016,128.5,8/17/2016,139.22
8/18/2016,2187.02,8/18/2016,129.11,8/18/2016,139.44
8/19/2016,2183.87,8/19/2016,127.97,8/19/2016,138.71
8/22/2016,2182.64,8/22/2016,127.78,8/22/2016,139.88
8/23/2016,2186.9,8/23/2016,127.76,8/23/2016,140.03
8/24/2016,2175.44,8/24/2016,126.34,8/24/2016,139.7
8/25/2016,2172.47,8/25/2016,126.23,8/25/2016,139.17
8/26/2016,2169.04,8/26/2016,126.05,8/26/2016,138.36
8/29/2016,2180.38,8/29/2016,126.3,8/29/2016,140.21
8/30/2016,2176.12,8/30/2016,125.03,8/30/2016,139.67
8/31/2016,2170.95,8/31/2016,124.78,8/31/2016,139.87
9/1/2016,2170.86,9/1/2016,125.29,9/1/2016,139.77
9/2/2016,2179.98,9/2/2016,126.57,9/2/2016,138.63
9/6/2016,2186.48,9/6/2016,128.71,9/6/2016,139.64
9/7/2016,2186.16,9/7/2016,128.27,9/7/2016,139.54
9/8/2016,2181.3,9/8/2016,127.59,9/8/2016,137.79
9/9/2016,2127.81,9/9/2016,126.75,9/9/2016,135.52
9/12/2016,2159.04,9/12/2016,126.59,9/12/2016,135.59
9/13/2016,2127.02,9/13/2016,125.75,9/13/2016,134.05
9/14/2016,2125.77,9/14/2016,126.18,9/14/2016,134.25
9/15/2016,2147.26,9/15/2016,125.37,9/15/2016,133.67
9/16/2016,2139.16,9/16/2016,125.06,9/16/2016,134.75
9/19/2016,2139.12,9/19/2016,125.32,9/19/2016,134.31
9/20/2016,2139.76,9/20/2016,125.44,9/20/2016,134.78
9/21/2016,2163.12,9/21/2016,127.27,9/21/2016,135.87
9/22/2016,2177.18,9/22/2016,127.57,9/22/2016,136.95
9/23/2016,2164.69,9/23/2016,127.65,9/23/2016,136.82
9/26/2016,2146.1,9/26/2016,127.55,9/26/2016,137.69
9/27/2016,2159.93,9/27/2016,126.62,9/27/2016,138.7
9/28/2016,2171.37,9/28/2016,126.22,9/28/2016,138.4
9/29/2016,2151.13,9/29/2016,126.07,9/29/2016,138.75
9/30/2016,2168.27,9/30/2016,125.64,9/30/2016,137.51
10/3/2016,2161.2,10/3/2016,125.32,10/3/2016,136.81
10/4/2016,2150.49,10/4/2016,120.97,10/4/2016,135.21
10/5/2016,2159.73,10/5/2016,120.78,10/5/2016,134.58
10/6/2016,2160.77,10/6/2016,119.66,10/6/2016,133.83
10/7/2016,2153.74,10/7/2016,119.74,10/7/2016,133.92
